,review_text,review_date,review_title,review_stars,review_flavor
10,"It came with a loose screw inside the unit that I couldn't figure out how to get out.  I left it in there and it's rattling around from the vibration of the unit.  The remote control I received is dead on arrival even after trying different batteries than the ones supplied with.  As for functionality - there's very little you can adjust.  The only things you have control over are the on/off, and up/down of temp.  It'd be nice to be able to turn off the eco mode, dim the glaring light produced by the read out.  Also there's no advanced things such as timer control.  It gets really annoying hearing the eco mode click on and off.  If it comes 1 degree from your set temp eco mode will kick in.  Because less air is being pushed out within a minute the temp will then enter into 2 degrees below your setting and this will go on and on.  There needs to be better programming to avoid this, such as when the temp reaches one degree above your setting it'll then enter eco mode and the temp slowly drops to your setting (or a variation of that)  overall I'm quite disappointed.  This thing should sell for half the price that it is now.  It's built very cheap, not much functionality, and not QC'd from the factory.","Reviewed in the United States on January 2, 2019",Disappointed,1.0 out of 5 stars,Color: White
11,"I see some issues that are mention about melting plugs and fire issues.1. never plug this into a power strip, always plug it directly into a wall.2. I would run this on a 20 amp line, too close to power limits if running on max power for an extended period of time. This wont result in fire this just wont produce the amount of heat you were looking for.3. if your plug is melting in the wall more than likely there is a compatibility issue between you wire coming into the receptacle and the receptacle its self.  example:  A. you're running 20 amp wire on a 15 amp receptacle.This not being the only possibility but more likely the probability. I have run into this issue with oil filled heaters pulling too much power with incompatible wiring and receptacle.But if you run this on a lower heat setting constantly with an occasional burst of high heat there should be no issues. I will update this once its installed","Reviewed in the United States on January 7, 2022","I haven't installed yet, but I see some issues with some of the reviews that I may be able to help.",5.0 out of 5 stars,Color: Wifi
12,"I hate my local city utility company. They provide the gas not Columbia and they are notorious for turning people's services off after only three weeks since the last payment and not the standard month. So to give them the old ""duck doo"", I bought this. I keep my house set at 60 degrees....even on the coldest of days.....and this baby does the rest! It keeps my room warm and the room next to mine, the family room. It works wonders. It has helped me save money and stick it to the immoral local city utility. It's a win win! The two main rooms where it is located are very comfortable and the rest of the house is acceptably warm.","Reviewed in the United States on December 13, 2019","Worth The Money, Heats Wonderfully!",5.0 out of 5 stars,Color: Gray
13,"I have installed this heater in a 24x26 insulated stand alone garage. I have mounted it on the edge of a workbench as shown in the picture. I live in the Appalachian mountains and it can get reasonably cold during our winters. For the last week lows have been in the high teens. Using this heater, set at 52 degrees to prevent freezing, I have maintained a 50 plus degree temperature at all times.The app allows me to remotely check the temperature and the status of the unit. If you are installing the app, follow the manual and it will work just fine. Guy logic didn’t work my first attempt.The pluses for me are ease of use and the fact that I feel comfortable leaving this unattended since it does not seem to get hot enough around the unit for me to worry about any combustion issues.I was really not convinced this would work in my situation, but so far it is performing better than expected. I feel confident it will work for you in similar settings.","Reviewed in the United States on December 28, 2020",Works in my 24x26 garage.,5.0 out of 5 stars,Color: Wifi
14,"I had to wait a LONG time for this to become available but was excited by the WIFI connection because I hated forgetting about my old space heater being on or having to run downstairs to turn it off/on. So I debated about getting this for about 8-10 months before finally giving in and purchasing it. I also thought about an electric fireplace heater, baseboard heaters, etc.When I DID decide to get it, the first one arrived dead. So my wife and I had to deal with the hassle of returning it. Having said that, I LOVE the replacement so far.  It heats up my 500 sq foot basement (with no insulation) way faster than my other space heaters. We haven't gotten to peak cold winter months yet though (currently mid-November). So I can't vouch for winter temperatures yet. The lowest temperature on the outside that we've dealt with are about 20-30 degrees F. It gets to about 67-68 degrees within 20-30 minutes from a starting temp. of 58-59.I absolutely love the WIFI connection and that it syncs up with Alexa. You have to be slightly tech savy to get the Smart Life and the Alexa App to work together. I set up a routine with Alexa so when I say, ""Alexa turn on my basement heater,"" it turns on automatically – wherever I can use my Alexa. I can also simply say ""Alexa, turn on my Heatstorm"" and that works too. I just want it to be easy for my wife and house sitters to say something generic other than saying ""Heatstorm."" I can also simply open either app and find my Heatstorm to turn off or on. So if I'm on my way home and want a toasty warm basement, I can do that ahead of time. The vent grill is also not hot to touch – as per advertised. So that's good for my 2-year old and dog.I plan on eventually mounting it but as of now, the legs are in place. I've read reviews that it was hard for them to install the legs, but I've had zero problems. It took maybe 5-10 minutes to install the feet. I'm a DIYer and it seemed pretty intuitive to me.The sound is VERY quiet to me. The other space heaters Ive had were much loader than this. So maybe the people that said theirs is loud are either super sensitive to noises or they might have a defective unit. There's always a ""clicking"" off sound where you can see your lights quickly tick over. But I plan on dedicating a separate electrical line specifically for this unit.I have a schedule setup to startup early on the weekends so it's nice to have the ability to use a schedule. It's like having a remote thermostat and heater in one – like my Nest for my upstairs.I can't say anything to the energy efficiency quite yet but I haven't noticed a dramatic difference in my electric bill yet. Maybe a little higher. But if anyone knows anything about space heaters, there's no such thing as TRUE energy efficient.YEARLY UDATESo after using this for a year I can say we’re still happy with it. We use it all the time. The energy efficiency isnt great though. Our electric bill haa gone up $20-$40 more a month because of its use.","Reviewed in the United States on November 17, 2019",WORTH IT for my home!,4.0 out of 5 stars,Color: Wifi
15,Very good... at first it was cursed with the “new heater” smell but quickly went away after two nights WiFi connection is great and the app is easy to use before I bought it I was concerned wether  I would be able to connect to it anywhere or if it’s like a printer that only works off of the network but I am able to change temp or turn on and off from anywhere I have data or WiFi connection and it puts off more heat then I expected it too if I have it set to 68 the heater will stop heating at 70 degrees every time seems to be very accurate.. with this scenario if it’s below 68 it’ll be on full blast and when it reaches 68 or 69 it’ll be on Econ mode so slower fan speed and less heat being outputted until it reaches 70,"Reviewed in the United States on September 23, 2019",Very satisfied,5.0 out of 5 stars,Color: Wifi
16,"I'll update this after talking with customer service but here's my initial feedback. The overall appearance of the heater is great, it's one of the most attractive space heaters on the market. The thing that gets me with any product, however, are set up instructions for a model other than the one you've purchased. That what you get here. The problem is the feet. The heat from this blows downwards. Without the feet on my concern would be that it would overheat the carpet. So the first step, naturally, is to install them. The instructions basically gloss over this. After spending 30 minutes playing with the feet and searching for a product set up video, I've given up for now. Yesterday I assembled a boxed lawnmower yet today I can't get feet on a heater. I'll update this later.Add-on review: I've upgraded the rating from 1 to 3. With feet now installed I've used the heater several times and will probably hang onto it. I'll have to leave it to others to evaluate the energy efficiency of this heater. As far as heat output goes, it doesn't generate anymore heat than the $40.00 model it replaces and, as one reviewer complained, does emit a high pitched hum that some might find irritating. But my former heater didn't have a thermostat or remote control so I consider this to be an upgrade. It's definitely an upgrade as far as the design & appearance goes. I'd probably give this product 4 stars but am still irked by the inattention to detail with regard to the instructions that came with it. I know that it's common for manufacturers to bundle several model numbers with common features in the same ""manual"", but in this case the feet had nothing in common with the model shown. With a much time, energy and money as is invested in a product like this it's difficult to comprehend why a manufacturer would be so cheap as to not print dedicated instructions to match the model sold.","Reviewed in the United States on March 15, 2018","The overall appearance of the heater is great, it's one of the most attractive space heaters ...",3.0 out of 5 stars,Color: White
17,"We are really pleased with this heater so far. Bought for a bathroom as supplemental heating to main house heating. The product looks clean, smart and modern and functions just the same. The Wifi is a must and the main reason i purchased this device. The app allows you to control the heater from the phone but more importantly to schedule the device to turn on and turn off at preset times (like early morning), at your desired temperature, and on your choices of days (like ""work days only"" as an example). The heater works by radiant heat but also has a blower. The blower is not overly loud. There are 3 selectable modes for the blower/heat power: Low, High and Auto. Auto mode operates at full power (100%) until the room (ambient) temperature is within a degree or so of the set (desired) temperature and then it ""throttles down"" to 50% until the room is up to the desired set temperature. High and Low modes simply operate at High (100%) or Low (50%) continually until the desired temperature is achieved and the thermostat turns the product off, the same as a normal HVAC thermostat control. We simply leave it on Auto mode. The display panel is excellent, you can modify the brightness if desired (also from the app!). The current temperature is displayed and you can manually adjust the set level using the + or - keys (it's essentially a touch screen display almost). The new set temperature will flash for a few seconds for you to see (when adjusted) and then the display returns to the ambient temperature as the heater attempts to meet the set level. Both levels (set and ambient) are displayed together on the app so you can see what the room is and what your appliance is trying to get to. I put a new outlet in the bathroom wall and strategically located the outlet at the rear where there is a large cable storage area with a removable storage cover recessed into the rear plastic body of the heater. This way the cord and outlet are not seen when mounted and it is flush to the wall - it looks great this way and looks like it is ""hard-wired"" - i included a photo. Note that the rating is 1500Watts which is approximately 12.5 Amps so take this into account if you have other loads on your circuit for wire and breaker sizing but remember that this is a continuous maximum rating (100% power) and this product is not designed to run at 100% indefinitely (since it is thermostat controlled). Also be aware that any bathroom outlets need to be GFCI (although this device does not have a ground pin - it does not exempt an additional outlet from being a GFCI). As always, you should consult a certified electrician and adhere to all code regulations especially for bathroom, kitchen or similar applications.The only issue encountered was during initial wifi setup. When downloading the Smart Life app the initial app install asked for some generic global settings about locations services and out of an abundance of caution i declined some of them (security / privacy reasons). After 30 minutes of frustration trying to discover the device using the EZ connect method and then the manual AP method i finally realized that one of these settings was preventing the discovery of the heater on my network. I was just about to call the help line. (Under iPhone General Settings>Smart Life>Local Network slider should be ""on"" to ""allow Smart Life to access"". This is not in the App set up or in the product literature. If this is not set to ""on"" the heater will not connect at all. As soon as i changed it to on it became available. Since then the Wifi has been consistent and never dropped once in 2 weeks. When the unit is unplugged from the outlet for a long duration the settings remain and so the unit reconnects automatically without user intervention (in case of power outage). The unit is wall mount only but i believe that feet for floor standing are available for purchase from the seller via Amazon.In summary, this was a great purchase for looks, functionality, convenience and performance. Highly Recommended and i am not easily pleased!","Reviewed in the United States on November 24, 2020","Slim, wall-mounted, easy to use and perfect for small/medium space.",5.0 out of 5 stars,Color: Wifi
18,"Heats quickly and widely, thermostat accurate. Cycles down to a quiet mode when temp reached. Best to put it facing an open space so it doesn't cycle on and off so often. Remote is a plus but small. Hope I don't lose it.  Fan is mildly noisy, but so is my fridge, and I don't hear the old Whirlpool beast anymore anyway. Quality of the heat is very good. Unit lightweight, not boxy. Using it to heat my 5th wheel RV. Can be wall mounted. I've had it a week. Cord at outlet stays cool.  (UPDATE) - after two weeks I returned it.  It wouldn't heat above 68 degrees, with the outside temp dropped to 39.  Space is 200 square foot RV. RVs have poor insulation. I had to return it, I was very sad.","Reviewed in the United States on October 26, 2018",Overall heating range good,5.0 out of 5 stars,Color: White
19,"Infrared heat is not as dry as regular forced air, even though this does blow air, so it makes a good heat source for hot yoga. This slim model fits tight against the wall and can be turned on remotely so you can operate it before going into the room, and check its temperature. For this use case, note these things:1. Better to install it low - 1 or 2 feet above the floor. Heat rises and this seems to be most efficient for heating the whole room. Also, the thermometer control only goes to 99 Fahrenheit, but when it is installed low, temperatures are higher at your standing height (5 degrees difference for us, so 104 degrees).2. It takes 15 - 30 minutes to heat up above 95 degrees in a small room (ours is 10x14). If you set up your room ahead of time to ensure all A/C vents are closed off and the door is closed, you could start this process before you even get home using your phone.3. Seal your room. That means door threshold, windows, basically insulating all crevices/openings.4. Get a separate thermometer and put it at standing height. This tells you more accurately what the effective temperature is. Humidity reading is a bonus.5. Think about where you want hot air blowing. It is more efficient in the center of the room, but you might not want that air blowing at your face.It really works well for us.","Reviewed in the United States on June 27, 2020",Works well for our HOT YOGA room.,5.0 out of 5 stars,Color: Wifi
20,"If negative stars was a thing, this would be the only product I would give them to. Easy to mount. Came with a little level attached to paper as a cheat sheet in case you can't put screws into a wall straight. Doesn't ACTUALLY heat your house. I had it turned up to 90° for DAYS and it didn't get over 54 in my 400 SQ FT LIVING ROOM. This is the most disappointment and discomfort for our household, might I mention, that I have experienced this far from Amazon. Boo. Hiss. Fail. Will return.","Reviewed in the United States on December 16, 2019",BOOOOO HISS FAIL,1.0 out of 5 stars,Color: Wifi
21,In cold weather living in an RV (5th wheel) if I have to run my propane heaters nonstop I have to spend $50 every 3rd day to refill the propane. That’s just not economically feasible in the long term so I purchased one of these.It sufficiently heats the main area. At 34F outside it maintained 69F inside. At 44F outside it maintains 71F inside.At 34F outside with a 41F temp inside it took 20 minutes of propane use in conjunction with this electric heater to sufficiently warm the interior and then turn off the propane and keep this heater on to maintain 71F inside.At 41F outside it took 1.5 hours to heat the main portion of the RV to 61F without any propane use. After that I used the propane heater for 10 minutes and warmed the main area up to 75F which this electric heater maintained that temp once the propane was turned off.I was never able to get the WIFI app part to work but I hope this review helps.,"Reviewed in the United States on November 14, 2019",RV Friendly,5.0 out of 5 stars,Color: Wifi
22,"After searching many i ordered this product for our home office for my wife in denver colorado where we lives.So... product came in a larger box,  well wrapped.  I opened and started the set up... no DAMAGE were found in the box...BUT..After intial setup,  i noticed the the heat was not coming out.  I tried to figure out,  but soon after 6 hrs gave up.  I have never returned any products before,  thought this could be my first one or i may be completely stupid.I gave a try by calling thier customer service.  A wonderful lady named Mari Ann answerd my agitated,  pissed off call from thier Uttah office. Oh boy,  what an experience.  She was calm,  asked my situation find out each and every setup i did over the phone.  Within seconds she connected me with her co worker, tech support guy named Monte and they both tried to help me.Monte,  explained me that it could be a wire came off from the heating element.  While i was on phone,  he directed me to open 12 screws around the back of the box and direct me to look for any un attached wire ( only if i am.comfortable to do.so) i said YES.. i opened the back and found there was one red wire came out from the hook.  All i had to do was to push it back to the perspective attachement.  Three seconds,  done.I closed the back,  re attached the back using 12 screw's and attached back to wall and pluged back in... here we go.. within 10 seconds,  here comes the hot breeze i was looking for..Any company's success, there are are positive attitude employees...  Mari Ann and Marte made my day.. fixing my problem staying phone for 20 min.. at the end Iam more than  happy with this product and service of thier employees...What an elegant and smooth design.. beatiful wall attachment.. five stars...","Reviewed in the United States on December 31, 2019",Great product and customer service,5.0 out of 5 stars,Color: Wifi
23,"Our 1930's Craftsman is hard to heat, large rooms, high ceilings and pretty sure zero insulation. Bought this for the living room, which is approx 360 sq ft, and it works great! Keeps it cozy (mid 70's) even when the temperature outside is well below freezing. Came with a template that has a level on it so it's extremely easy to install. It's lightweight as well so I didn't have to worry about finding studs to mount it. It hooked right up to my phone and my google home as well. The cord is on the short side so I had to put it lower on the wall than I originally wanted but it looks great and works great at the height it's at.","Reviewed in the United States on January 20, 2021",Great for old house with large rooms!,5.0 out of 5 stars,Color: Wifi
24,"I bought this unit to heat my bathroom while it's under construction and it has surpassed my expectations. It's very quiet-the low fan is almost silent and the high fan is quiet enough for use in a bedroom. I like the fact that you can hang it on the wall, or place the feet on it and stand it on the floor. It will be moving to my bedroom once construction is finished, so I anticipate loving the remote control feature. Thank you for making such a useful and quiet heater!","Reviewed in the United States on February 16, 2019",Very quiet,5.0 out of 5 stars,Color: White
25,"An excellent heater.  Safe, quiet, lightweight, and does a great job of heating the room.  The remote is handy.  This is my second one.","Reviewed in the United States on February 9, 2018",An excellent heater. Safe,5.0 out of 5 stars,Color: White
26,"I purchased this heater to use as supplemental heat in my home office which is a room over the garage. It often gets much colder in here than the rest of the heating zone, requiring me to set the zone heat to 75*+ to make it in the high 60's in here. This is about a 10'X24' space. With the door closed this little space heater brought the temp from 58* to 71* in less than 20 minutes. It is quiet, the front doesn't get hot, the remote works well from across the room, and it is easily portable if I needed to move it. Having a dog and a toddler I also tested if it really would shut off if knocked over, and it does. It actually shut off when I bumped it hard enough to wobble but didn't actually fall over. Hands down this product deserves 5 Stars.But what really has turned me into a Heat Storm customer for all my space heating needs is their customer service. After my first day using the heater for an extended period of time I noticed it kept making a tin/vibration sound. I contacted the phone number expecting to deal with a phone tree and hoping I would have time to get to an actual human before my next meeting. On the third ring a real person answered. I explained that my new heater was making an annoying sound. She told me she had to transfer me to support - ahh, here is the long hold - Nope. It never even rang. The next thing I heard was another real life human offering assistance. I was shocked - but in a good way. Real support from real people without jumping through hoops? Is this real life?? Well it was. The man I spoke with (and I feel awful I didn't write down his name) was pleasant, personable, and HELPFUL. He walked me through trouble shooting the issue and when he said he created a file and added my notes in case I have an issue again, I actually feel confident that he did. Thank you so much to this gentleman (again so sorry I forgot your name) and to Heat Storm for hiring customer focused technicians and support. Based on this experience I highly recommend this product and company to anyone who needs a space heater!","Reviewed in the United States on November 8, 2019",Great Product - Amazing Customer Service,5.0 out of 5 stars,Color: White
27,"I purchased this to keep my garage warm in winter (NE Oregon, 3,500 ft elevation; so it gets a bit cold). It really does the job. I have one heater in a 2-car garage. For best comfort, I might buy a second, but for the most part, this one heater is doing the job. I really like the fact that it does come with a thermostat that you control via remote. I can set my garage for 62 degrees to keep my car batteries healthy, and 68 degrees when I need to do some work. Absolutely no complaints.To top it off, it was easy to mount on the wall. They give you a cardboard template for drilling the holes, and the template comes with an embedded level - outstanding!","Reviewed in the United States on April 4, 2020",Really does the job,5.0 out of 5 stars,Color: Wifi
28,"I've had this heater for 3 years now and it's the best heater I can imagine.  Wifi control is flawless and I use voice commands through Google Assistant to toggle the heater on/off or change its temperature.  The Google integration also makes it easy to set up scheduled times to turn on, which I used for a while to warm up the bathroom in the morning so I wouldn't be so reluctant to get out of bed during cold weather.The heater's design is simple but comprehensive: it can be wall-mounted, which is a great option, and it has a panel in the back for storing accessories, the remote control, and any excess length of the AC cable.It's also quite a capable heater, warming up large rooms pretty quickly by itself.  The cats enjoy laying way to close to it, and I do that myself sometimes too!","Reviewed in the United States on February 13, 2022",Perfect heater for humans and cats,5.0 out of 5 stars,Color: Wifi
29,"Since COVID, we all had to improvise life. Work from home was no different for me. I have a 3 bedroom house and no office space except for the Kitchen - this was not going to work with kids doing home schooling and whatnot. I sectioned off part of my garage, got a thermal curtain and one of these bad-boys and voila! HEAT! It keeps a 12x10 (with a 10 foot ceiling) part of the garage nice and toasty (i have it set to 72).worth adding: I have the garage door ""half-a.."" insulated, and is a bit drafty still. I have the Heater running all time. I thought turning it on early in the morning would help but when its brisk out, it takes it a bit to heat up. This is not a limitation of the heater. this heater is nice","Reviewed in the United States on December 28, 2020",Best thing I bought for my garage,5.0 out of 5 stars,Color: Wifi
